train_loss,train_acc,test_loss,test_acc
0.07863636285833034,0.7823936696340257,0.0934167276239628,0.8049792531120332
0.07925472108077933,0.7851632047477745,0.07917233015234128,0.7966804979253111
0.07770636062092644,0.7877349159248269,0.06916420607161637,0.8091286307053942
0.07947225995641846,0.7835806132542038,0.12013125337884448,0.7883817427385892
0.07700351850303769,0.790108803165183,0.08560641488269033,0.8423236514522822
0.07482555321206796,0.8013847675568744,0.1493489267562167,0.8015214384508991
0.07732698488335699,0.7910979228486646,0.10752224728315657,0.8132780082987552
0.07914849543017284,0.7881305637982196,0.0882718609600878,0.838865836791148
0.07570645414462311,0.7926805143422354,0.08360374219751664,0.8215767634854771
0.07620492601872197,0.7944609297725025,0.10575154061747372,0.7842323651452282
0.07369043474278157,0.8003956478733927,0.08149476337309715,0.8188105117565698
0.0754951933083796,0.7958456973293768,0.05403804668401822,0.8568464730290456
0.0749771221403611,0.7996043521266073,0.15252740394045827,0.8132780082987552
0.0718226484681685,0.8065281899109792,0.07223238121978372,0.8423236514522822
0.07277762500530534,0.8011869436201781,0.0759083019134126,0.8457814661134163
